samples,sample_id,Site
A01,SLG1,SLG
B01,SLG2,SLG
C01,SLG3,SLG
D01,SLG4,SLG
E01,SLG5,SLG
F01,SLG6,SLG
G01,SLG7,SLG
H01,SLG8,SLG
A02,SLG9,SLG
B02,SLG10,SLG
C02,SLG11,SLG
D02,SLG12,SLG
E02,SLG13,SLG
F02,SLG14,SLG
G02,SLG15,SLG
H02,SLG16,SLG
A03,SLG17,SLG
B03,SLG18,SLG
C03,SLG19,SLG
D03,SLG20,SLG
E03,SLG21,SLG
F03,SLG22,SLG
G03,SLG23,SLG
H03,PNR1,PNR
A04,PNR2,PNR
B04,PNR3,PNR
C04,PNR4,PNR
D04,PNR5,PNR
E04,PNR6,PNR
F04,PNR7,PNR
G04,PNR8,PNR
H04,PNR9,PNR
A05,PNR11,PNR
B05,PNR13,PNR
C05,PNR14,PNR
D05,PNR15,PNR
E05,RF1,RF
F05,RF2,RF
G05,RF3,RF
H05,RF4,RF
A06,RF5,RF
B06,RF6,RF
C06,RF7,RF
D06,RF8,RF
E06,RF9,RF
F06,RF10,RF
G06,RF11,RF
H06,RF12,RF
A07,RF13,RF
B07,FRW1,FRW
C07,FRW2,FRW
D07,FRW3,FRW
E07,FRW4,FRW
F07,FRW 5,FRW
G07,FRW6,FRW
H07,FRW8,FRW
A08,FRW9,FRW
B08,FRW10,FRW
C08,FRW11,FRW
D08,FRW12,FRW
E08,FRW13,FRW
F08,FRW14,FRW
G08,FRW15,FRW
H08,FRW16,FRW
A09,FRW17,FRW
B09,FRW18,FRW
C09,FRW19,FRW
D09,FRW20,FRW
E09,FRW21,FRW
F09,FRW22,FRW
G09,RRL1,RRL
H09,RRL2,RRL
A10,RRL3,RRL
B10,RRL4,RRL
C10,RRL5,RRL
D10,RRL6,RRL
E10,RRL7,RRL
F10,RRL8,RRL
G10,RRL9,RRL
H10,RRL10,RRL
A11,RRL11,RRL
B11,RRL12,RRL
C11,RRL13,RRL
D11,RRL14,RRL
E11,RRL15,RRL
F11,RRL16,RRL
G11,RRL17,RRL
H11,RRL18,RRL
A12,RRL19,RRL
B12,RRL20,RRL
C12,RRL21,RRL
D12,RRL22,RRL
E12,HR1,HR
F12,HR4,HR
G12,HR5,HR
H12,HR6,HR
