lib_one,lib_two
SLG1,WARTT11
SLG2,WARTT12
SLG3,WARTT14
SLG4,WARTT15
SLG5,WARTT17
SLG6,WARTT19
SLG7,WARTT110
SLG8,WARTT111
SLG9,WARTT112
SLG10,WARTT114
SLG11,WARTT115
SLG12,WARTT116
SLG13,WARTT117
SLG14,WARTT119
SLG15,WARTT120
SLG16,WARTT121
SLG17,WARTT123
SLG18,WARTT124
SLG19,SBR1
SLG20,SBR2
SLG21,SBR3
SLG22,SBR4
SLG23,SBR5
PNR1,SBR6
PNR2,SBR7
PNR3,SBR8
PNR4,SBR9
PNR5,SBR10
PNR6,SBR11
PNR7,SBR12
PNR8,SBR13
PNR9,SBR14
PNR11,SBR15
PNR13,SBR16
PNR14,SBR17
PNR15,SBR18
RF1,SBR19
RF2,SBR20
RF3,BTU2
RF4,BTU3
RF5,BTU4
RF6,BTU6
RF7,BTU7
RF8,BTU8
RF9,BTU9
RF10,BTU12
RF11,BTU13
RF12,BTU15
RF13,BTU16
FRW1,BTU19
FRW2,BTU20
FRW3,SKYT17
FRW4,SKYT18
FRW 5,SKYT19
FRW6,SKYT110
FRW8,SKYT111
FRW9,SKYT112
FRW10,SKYT113
FRW11,SKYT114
FRW12,SKYT115
FRW13,SKYT116
FRW14,SKYT117
FRW15,SKYT118
FRW16,SKYT119
FRW17,SKYT120
FRW18,SKYT121
FRW19,SKYT122
FRW20,SKYT123
FRW21,SKYT124
FRW22,SKYT125
RRL1,SKYT126
RRL2,SKYT127
RRL3,SKYT128
RRL4,SKYT129
RRL5,SKYT130
RRL6,BLDTT48
RRL7,BLDTT49
RRL8,BLDTT50
RRL9,BLDTT51
RRL10,BLDTT52
RRL11,BLDTT52
RRL12,KCKT10
RRL13,KCKT12
RRL14,KCKT13
RRL15,KCKT14
RRL16,KCKT17
RRL17,KCKT18
RRL18,KCKT19
RRL19,KCKT111
RRL20,KCKT112
RRL21,KCKT113
RRL22,KCKT116
HR1,KCKT118
HR4,
HR5,
HR6,
