A01,WARTT11,WART
B01,WARTT12,WART
C01,WARTT14,WART
D01,WARTT15,WART
E01,WARTT17,WART
F01,WARTT19,WART
G01,WARTT110,WART
H01,WARTT111,WART
A02,WARTT112,WART
B02,WARTT114,WART
C02,WARTT115,WART
D02,WARTT116,WART
E02,WARTT117,WART
F02,WARTT119,WART
G02,WARTT120,WART
H02,WARTT121,WART
A03,WARTT123,WART
B03,WARTT124,WART
C03,SBR1,SBR
D03,SBR2,SBR
E03,SBR3,SBR
F03,SBR4,SBR
G03,SBR5,SBR
H03,SBR6,SBR
A04,SBR7,SBR
B04,SBR8,SBR
C04,SBR9,SBR
D04,SBR10,SBR
E04,SBR11,SBR
F04,SBR12,SBR
G04,SBR13,SBR
H04,SBR14,SBR
A05,SBR15,SBR
B05,SBR16,SBR
C05,SBR17,SBR
D05,SBR18,SBR
E05,SBR19,SBR
F05,SBR20,SBR
G05,BTU2,BTU
H05,BTU3,BTU
A06,BTU4,BTU
B06,BTU6,BTU
C06,BTU7,BTU
D06,BTU8,BTU
E06,BTU9,BTU
F06,BTU12,BTU
G06,BTU13,BTU
H06,BTU15,BTU
A07,BTU16,BTU
B07,BTU19,BTU
C07,BTU20,BTU
D07,SKYT17,SKY
E07,SKYT18,SKY
F07,SKYT19,SKY
G07,SKYT110,SKY
H07,SKYT111,SKY
A08,SKYT112,SKY
B08,SKYT113,SKY
C08,SKYT114,SKY
D08,SKYT115,SKY
E08,SKYT116,SKY
F08,SKYT117,SKY
G08,SKYT118,SKY
H08,SKYT119,SKY
A09,SKYT120,SKY
B09,SKYT121,SKY
C09,SKYT122,SKY
D09,SKYT123,SKY
E09,SKYT124,SKY
F09,SKYT125,SKY
G09,SKYT126,SKY
H09,SKYT127,SKY
A10,SKYT128,SKY
B10,SKYT129,SKY
C10,SKYT130,SKY
D10,8 BLDTT48,BLDTTT
E10,1 BLDTT49,BLDTTT
F10,8 BLDTT49,BLDTTT
G10,1 BLDTT50,BLDTTT
H10,8 BLDTT50,BLDTTT
A11,1 BLDTT51,BLDTTT
B11,8 BLDTT51,BLDTTT
C11,1 BLDTT52,BLDTTT
D11,8 BLDTT52,BLDTTT
E11,KCKT10,KCKT
F11,KCKT12,KCKT
G11,KCKT13,KCKT
H11,KCKT14,KCKT
A12,KCKT17,KCKT
B12,KCKT18,KCKT
C12,KCKT19,KCKT
D12,KCKT111,KCKT
E12,KCKT112,KCKT
F12,KCKT113,KCKT
G12,KCKT116,KCKT
H12,KCKT118,KCKT
